id,fecha_hora,concentracion_mp_mg_m3,concentracion_mp_sin_corregir_mg_nm3,concentracion_mp_mg_nm3,oxigeno_porcentaje_base_seca,humedad_porcentaje,concentracion_co2_porcentaje,concentracion_co2_sin_corregir_mg_nm3,temperatura_gases_salida_c,presion_gases_salida_atm,flujo_gases_salida_base_humeda_m3_min,flujo_gases_salida_base_seca_nm3_min,tipo_combustible,combustible,estado_fuente
38930,2025-09-01 00:49:00,114.699,372.733,176.857,8.155,12.007,8.621,153.179,154.975,0.985,2165.476,1275.802,,,
38931,2025-09-01 00:50:00,389.355,497.401,188.281,7.249,13.003,11.66,145.351,148.363,0.982,2145.198,1286.287,,,
38932,2025-09-01 00:51:00,321.296,192.934,118.939,7.297,13.198,11.817,154.333,147.266,0.982,2181.094,1316.498,,,
38933,2025-09-01 00:52:00,378.825,349.578,196.285,6.834,12.531,10.039,157.061,149.01,0.982,2129.56,1264.111,,,
38934,2025-09-01 00:53:00,363.19,284.129,238.177,8.333,12.407,8.881,152.487,149.88,0.976,2183.653,1330.961,,,
38935,2025-09-01 00:54:00,259.265,115.781,433.258,8.294,12.548,13.316,152.31,150.695,0.977,2125.226,1309.187,,,
38936,2025-09-01 00:55:00,372.656,105.788,246.557,8.468,13.247,8.318,147.616,144.218,0.979,2157.434,1325.495,,,
38937,2025-09-01 00:56:00,80.972,147.691,401.849,7.305,12.292,12.304,144.149,147.305,0.985,2148.611,1349.026,,,
38938,2025-09-01 00:57:00,118.594,359.637,275.777,8.137,13.441,8.84,159.178,145.564,0.982,2135.258,1347.687,,,
38939,2025-09-01 00:58:00,65.83,326.865,413.947,7.33,12.845,11.824,149.353,140.582,0.979,2101.178,1294.763,,,
38940,2025-09-01 00:59:00,163.866,321.372,490.509,7.409,12.707,11.982,155.211,149.143,0.98,2139.785,1278.11,,,
38941,2025-09-01 01:00:00,186.037,112.743,195.937,8.16,13.614,12.826,145.162,153.122,0.984,2111.836,1313.43,,,
38942,2025-09-01 01:01:00,144.972,287.721,444.937,6.855,13.012,10.37,146.646,153.822,0.977,2122.516,1321.135,,,
38943,2025-09-01 01:02:00,340.058,469.849,348.73,6.941,12.757,8.131,149.887,147.761,0.978,2168.83,1279.473,,,
38944,2025-09-01 01:03:00,174.864,259.037,426.918,7.129,13.756,12.866,151.857,151.488,0.979,2157.129,1278.136,,,
38945,2025-09-01 01:04:00,148.327,349.969,360.634,8.076,12.737,10.664,143.451,150.686,0.984,2152.708,1271.497,,,
38946,2025-09-01 01:05:00,239.944,411.927,269.58,7.245,13.718,13.083,140.689,143.433,0.983,2156.402,1340.943,,,
38947,2025-09-01 01:06:00,99.323,413.57,191.23,7.216,13.008,12.656,137.183,140.944,0.981,2112.005,1260.164,,,
38948,2025-09-01 01:07:00,330.769,307.712,128.014,8.498,12.416,10.99,142.709,151.218,0.978,2116.464,1274.64,,,
38949,2025-09-01 01:08:00,76.093,443.181,314.207,7.268,13.226,13.996,136.337,144.24,0.977,2154.28,1312.441,,,
38950,2025-09-01 01:09:00,395.41,256.551,496.13,6.996,12.571,10.772,142.503,148.241,0.978,2140.683,1296.758,,,
38951,2025-09-01 01:10:00,320.286,455.477,395.217,7.746,12.294,12.179,156.24,147.861,0.984,2146.32,1262.07,,,
38952,2025-09-01 01:11:00,119.55,196.091,230.938,8.104,12.173,12.019,159.312,152.268,0.984,2187.915,1278.951,,,
38953,2025-09-01 01:12:00,51.933,212.087,430.882,6.639,12.483,11.108,147.313,149.67,0.979,2118.516,1290.813,,,
38954,2025-09-01 01:13:00,335.411,121.248,407.594,7.738,13.473,11.512,134.38,152.707,0.978,2191.07,1345.869,,,
38955,2025-09-01 01:14:00,297.4,418.233,212.654,6.571,13.676,12.792,142.827,151.284,0.984,2185.749,1289.575,,,
38956,2025-09-01 01:15:00,305.153,266.822,105.723,7.553,13.723,11.43,148.062,154.997,0.979,2190.179,1261.581,,,
38957,2025-09-01 01:16:00,319.945,191.647,147.265,7.014,12.54,10.701,141.123,152.958,0.975,2164.136,1347.237,,,
38958,2025-09-01 01:17:00,75.916,192.716,450.922,7.113,13.322,11.972,136.155,143.166,0.978,2186.394,1293.402,,,
38959,2025-09-01 01:18:00,175.463,460.56,434.625,7.434,12.461,8.213,136.805,154.421,0.981,2199.119,1263.971,,,
38960,2025-09-01 01:19:00,90.554,433.567,218.084,8.354,13.246,8.655,144.218,145.102,0.984,2147.142,1311.107,,,
38961,2025-09-01 01:20:00,352.086,321.412,214.078,7.921,13.774,8.753,136.493,149.118,0.979,2186.181,1330.855,,,
38962,2025-09-01 01:21:00,268.154,346.444,417.146,8.374,12.082,10.555,137.486,154.12,0.977,2190.369,1321.053,,,
38963,2025-09-01 01:22:00,165.814,289.73,475.095,7.82,13.97,13.231,156.193,143.212,0.979,2130.977,1281.155,,,
38964,2025-09-01 01:23:00,72.245,256.667,411.655,6.514,13.654,11.86,153.372,152.859,0.976,2144.271,1273.896,,,
38965,2025-09-01 01:24:00,158.844,466.191,342.231,7.031,13.523,13.836,131.659,154.297,0.984,2157.367,1338.288,,,
38966,2025-09-01 01:25:00,163.814,150.245,197.069,8.312,13.383,8.24,139.605,152.806,0.975,2134.916,1269.387,,,
38967,2025-09-01 01:26:00,305.362,267.379,310.299,7.787,13.541,12.332,145.958,152.288,0.975,2132.214,1325.678,,,
38968,2025-09-01 01:27:00,273.145,237.825,193.405,8.463,13.989,9.885,131.818,143.969,0.981,2138.072,1252.299,,,
38969,2025-09-01 01:28:00,360.524,299.26,423.205,6.812,13.54,8.14,150.495,146.106,0.977,2142.391,1291.958,,,
38970,2025-09-01 01:29:00,215.275,283.053,254.784,7.093,12.703,12.956,141.533,151.405,0.978,2125.227,1348.493,,,
38971,2025-09-01 01:30:00,91.858,307.556,433.479,7.225,13.228,8.976,141.915,141.772,0.98,2147.331,1313.386,,,
38972,2025-09-01 01:31:00,299.636,155.968,252.644,7.153,12.674,9.284,137.96,153.326,0.983,2177.875,1281.066,,,
38973,2025-09-01 01:32:00,316.275,305.257,429.66,7.004,13.94,10.043,140.018,143.154,0.979,2162.449,1319.977,,,
38974,2025-09-01 01:33:00,246.447,196.968,233.327,7.387,13.8,12.73,155.851,148.472,0.985,2137.976,1285.332,,,
38975,2025-09-01 01:34:00,319.839,173.733,276.053,7.785,13.135,11.748,153.658,141.576,0.98,2115.62,1343.884,,,
38976,2025-09-01 01:35:00,222.828,125.934,346.195,7.123,13.563,9.589,158.073,142.778,0.984,2182.404,1273.493,,,
38977,2025-09-01 01:36:00,232.956,405.061,128.115,6.659,13.819,9.011,150.97,148.783,0.98,2151.133,1281.998,,,
38978,2025-09-01 01:37:00,199.639,270.977,479.283,7.917,12.487,8.657,147.336,149.52,0.98,2197.124,1318.874,,,
38979,2025-09-01 01:38:00,58.897,350.657,329.442,7.418,13.159,8.899,137.778,144.046,0.985,2125.269,1329.529,,,
38980,2025-09-01 01:39:00,87.762,391.037,303.128,7.613,12.963,13.209,150.006,141.786,0.982,2117.551,1307.647,,,
38981,2025-09-01 01:40:00,61.0,371.727,435.758,7.411,13.543,13.536,157.185,148.243,0.976,2100.801,1278.927,,,
38982,2025-09-01 01:41:00,272.744,288.2,446.305,8.281,12.758,13.808,132.075,152.61,0.981,2108.262,1307.309,,,
38983,2025-09-01 01:42:00,160.025,255.159,308.904,7.617,13.418,13.008,143.292,143.022,0.977,2138.54,1271.915,,,
38984,2025-09-01 01:43:00,228.0,250.384,470.905,8.347,12.806,13.324,134.481,150.373,0.978,2119.824,1255.743,,,
38985,2025-09-01 01:44:00,367.648,356.02,125.895,7.521,12.222,12.897,154.318,145.788,0.983,2103.788,1341.967,,,
38986,2025-09-01 01:45:00,137.252,297.918,145.29,7.085,12.214,13.748,148.423,154.146,0.982,2122.537,1298.114,,,
38987,2025-09-01 01:46:00,193.634,439.653,338.715,7.211,12.238,13.074,156.389,141.239,0.978,2172.875,1298.026,,,
38988,2025-09-01 01:47:00,314.443,449.881,241.626,7.544,12.065,10.772,131.893,140.6,0.975,2173.569,1324.478,,,
38989,2025-09-01 01:48:00,130.079,168.224,285.69,7.56,13.066,9.94,157.172,141.865,0.98,2114.964,1306.003,,,
38990,2025-09-01 01:49:00,76.943,154.493,231.232,7.875,13.344,11.505,132.016,151.737,0.978,2193.649,1295.429,,,
38991,2025-09-01 01:50:00,151.413,352.16,261.89,6.949,12.253,11.649,138.628,153.842,0.975,2115.904,1329.461,,,
38992,2025-09-01 01:51:00,106.427,220.49,429.059,7.818,13.224,11.449,134.685,152.337,0.976,2108.934,1297.502,,,
38993,2025-09-01 01:52:00,375.394,107.428,337.39,8.057,13.195,12.24,134.362,150.767,0.982,2116.294,1341.273,,,
38994,2025-09-01 01:53:00,332.842,455.457,498.938,7.853,12.294,12.194,135.15,140.864,0.979,2114.052,1280.623,,,
38995,2025-09-01 01:54:00,271.691,190.76,414.752,7.464,12.808,8.523,144.407,143.207,0.978,2163.171,1253.359,,,
38996,2025-09-01 01:55:00,355.011,471.712,209.467,8.483,13.51,9.713,153.531,154.031,0.984,2115.626,1264.919,,,
38997,2025-09-01 01:56:00,331.285,386.974,205.738,7.31,12.034,13.339,156.948,149.342,0.983,2163.433,1331.917,,,
38998,2025-09-01 01:57:00,115.3,405.061,234.359,6.713,12.294,11.54,147.006,147.025,0.98,2127.66,1342.621,,,
38999,2025-09-01 01:58:00,362.396,180.585,437.304,8.143,13.992,9.971,134.733,149.785,0.978,2124.84,1257.508,,,
39000,2025-09-01 01:59:00,238.77,193.678,110.915,6.924,13.467,13.103,132.376,142.679,0.98,2189.725,1340.871,,,
39001,2025-09-01 02:00:00,332.604,308.507,192.073,7.927,12.928,9.494,144.824,153.393,0.983,2121.433,1344.368,,,
39002,2025-09-01 02:01:00,363.632,168.84,461.967,6.858,13.26,10.455,152.961,149.845,0.975,2186.458,1325.433,,,
39003,2025-09-01 02:02:00,161.301,222.173,355.959,6.534,13.692,9.658,148.605,147.069,0.981,2130.353,1326.109,,,
39004,2025-09-01 02:03:00,88.518,228.585,190.739,6.82,13.685,13.228,147.483,146.861,0.982,2199.123,1250.153,,,
39005,2025-09-01 02:04:00,129.777,163.852,187.658,7.254,12.649,12.37,131.445,152.336,0.983,2198.093,1272.27,,,
39006,2025-09-01 02:05:00,199.488,182.073,445.047,6.713,12.983,10.761,142.346,144.618,0.977,2182.761,1271.463,,,
39007,2025-09-01 02:06:00,336.305,415.421,457.503,6.895,13.276,13.594,146.512,142.057,0.977,2186.809,1308.149,,,
39008,2025-09-01 02:07:00,351.256,166.878,202.452,8.029,12.144,13.565,147.949,142.785,0.977,2182.326,1315.693,,,
39009,2025-09-01 02:08:00,52.433,111.383,268.204,8.04,13.892,12.269,130.144,141.217,0.984,2162.965,1340.167,,,
39010,2025-09-01 02:09:00,228.762,351.742,433.838,8.135,12.865,13.352,135.987,147.618,0.976,2180.902,1298.799,,,
39011,2025-09-01 02:10:00,196.094,490.393,408.403,8.182,12.742,12.316,158.494,150.159,0.983,2162.828,1300.102,,,
39012,2025-09-01 02:11:00,127.738,232.486,425.566,7.341,13.814,11.769,145.259,154.01,0.985,2184.217,1255.426,,,
39013,2025-09-01 02:12:00,91.953,147.462,307.359,8.235,12.237,10.525,151.109,151.262,0.984,2193.555,1349.743,,,
39014,2025-09-01 02:13:00,168.165,328.155,464.62,7.552,12.079,9.641,139.246,148.747,0.979,2175.332,1344.56,,,
39015,2025-09-01 02:14:00,380.018,462.542,230.381,7.441,13.37,8.362,147.561,152.959,0.983,2196.469,1257.198,,,
39016,2025-09-01 02:15:00,163.121,413.625,162.669,7.937,12.77,12.805,140.694,153.383,0.982,2144.823,1305.77,,,
39017,2025-09-01 02:16:00,231.577,349.006,383.493,6.928,13.529,8.733,138.909,150.686,0.984,2192.539,1284.783,,,
39018,2025-09-01 02:17:00,296.057,226.023,315.742,8.079,12.137,10.462,142.342,140.844,0.977,2122.623,1292.833,,,
39019,2025-09-01 02:18:00,177.27,316.752,441.834,7.359,12.768,9.408,143.795,144.376,0.983,2103.137,1315.168,,,
39020,2025-09-01 02:19:00,390.124,136.498,132.464,6.755,12.471,10.728,139.934,145.043,0.981,2112.81,1291.971,,,
39021,2025-09-01 02:20:00,386.857,371.578,437.477,6.739,13.479,9.89,137.74,154.961,0.98,2116.025,1299.558,,,
39022,2025-09-01 02:21:00,138.124,390.038,217.318,6.83,12.454,12.978,148.715,146.962,0.982,2182.443,1277.306,,,
39023,2025-09-01 02:22:00,224.037,486.013,361.942,8.281,12.916,13.869,141.422,151.428,0.978,2140.101,1258.238,,,
39024,2025-09-01 02:23:00,155.307,204.159,116.052,8.482,13.638,13.649,136.055,152.207,0.976,2123.318,1325.516,,,
39025,2025-09-01 02:24:00,149.694,107.383,343.833,7.214,13.831,11.734,152.751,149.799,0.98,2181.227,1287.839,,,
39026,2025-09-01 02:25:00,62.91,318.243,386.909,7.084,13.445,13.876,151.712,140.274,0.978,2120.212,1338.66,,,
39027,2025-09-01 02:26:00,263.348,382.716,247.5,6.938,12.858,10.404,156.604,140.29,0.978,2107.788,1344.498,,,
39028,2025-09-01 02:27:00,225.938,416.163,186.164,8.148,13.144,11.135,146.651,152.282,0.985,2146.619,1258.834,,,
39029,2025-09-01 02:28:00,68.018,177.496,315.052,6.918,13.379,9.541,138.383,151.089,0.977,2106.941,1318.437,,,
39030,2025-09-01 02:29:00,147.526,204.701,433.276,8.348,13.75,13.388,155.911,148.042,0.977,2127.894,1332.013,,,
39031,2025-09-01 02:30:00,367.893,305.036,229.419,7.835,13.777,9.078,138.409,143.733,0.978,2170.034,1314.704,,,
39032,2025-09-01 02:31:00,133.847,232.24,200.988,8.294,13.862,11.663,149.668,141.301,0.98,2137.453,1282.869,,,
39033,2025-09-01 02:32:00,100.713,444.205,211.574,7.608,13.621,12.797,135.712,142.464,0.984,2108.748,1278.452,,,
39034,2025-09-01 02:33:00,221.308,289.504,479.653,7.881,12.294,11.572,148.875,148.705,0.977,2140.299,1296.225,,,
39035,2025-09-01 02:34:00,394.978,419.831,243.711,7.739,13.495,8.473,155.226,148.187,0.981,2151.314,1275.898,,,
39036,2025-09-01 02:35:00,134.719,332.248,101.442,8.162,13.629,11.669,146.198,154.119,0.979,2125.023,1339.573,,,
39037,2025-09-01 02:36:00,285.247,409.236,412.672,8.172,13.756,12.602,144.127,154.359,0.983,2117.089,1254.904,,,
39038,2025-09-01 02:37:00,316.567,233.069,379.71,7.68,13.85,9.127,159.804,148.64,0.981,2176.167,1261.267,,,
39039,2025-09-01 02:38:00,133.173,432.567,151.427,7.765,13.018,12.422,130.674,152.621,0.983,2106.784,1310.651,,,
39040,2025-09-01 02:39:00,304.876,209.829,493.962,8.344,13.31,13.271,139.952,152.184,0.984,2195.687,1315.834,,,
39041,2025-09-01 02:40:00,178.724,318.44,343.225,8.36,12.019,13.919,157.558,151.286,0.984,2100.76,1323.603,,,
39042,2025-09-01 02:41:00,271.307,185.603,300.312,7.828,13.146,10.46,149.279,146.56,0.985,2165.124,1277.559,,,
39043,2025-09-01 02:42:00,271.735,290.211,252.888,6.516,12.946,8.151,146.263,145.841,0.981,2113.36,1279.443,,,
39044,2025-09-01 02:43:00,237.521,227.27,459.469,6.709,13.925,10.514,149.131,143.962,0.981,2154.71,1291.365,,,
39045,2025-09-01 02:44:00,81.601,206.681,197.585,8.216,13.803,11.961,139.658,154.056,0.976,2118.731,1273.449,,,
39046,2025-09-01 02:45:00,342.356,486.794,214.308,6.669,13.595,13.348,132.135,152.516,0.976,2103.432,1287.723,,,
39047,2025-09-01 02:46:00,162.273,164.03,148.964,6.927,12.114,13.629,138.254,142.657,0.98,2185.977,1319.692,,,
39048,2025-09-01 02:47:00,115.281,414.93,403.648,6.961,12.804,13.457,140.095,143.787,0.982,2142.393,1299.861,,,
39049,2025-09-01 02:48:00,64.271,493.666,338.22,7.7,13.392,11.948,144.396,148.72,0.977,2127.522,1346.661,,,
39050,2025-09-01 02:49:00,256.813,107.961,343.626,7.653,12.059,12.095,141.817,146.204,0.978,2194.727,1307.96,,,
39051,2025-09-01 02:50:00,287.148,379.611,187.388,7.079,12.472,8.014,145.63,143.208,0.982,2108.199,1282.861,,,
39052,2025-09-01 02:51:00,55.806,201.165,360.467,6.915,13.775,10.182,135.882,151.867,0.977,2134.851,1268.181,,,
39053,2025-09-01 02:52:00,229.233,116.195,406.183,8.029,12.26,13.441,135.521,140.023,0.98,2117.736,1271.987,,,
39054,2025-09-01 02:53:00,129.274,261.156,243.155,8.371,12.103,12.138,140.551,145.149,0.98,2199.12,1251.606,,,
39055,2025-09-01 02:54:00,275.81,474.087,420.539,6.606,13.161,10.808,144.211,153.94,0.984,2154.602,1294.214,,,
39056,2025-09-01 02:55:00,111.028,104.706,239.516,6.766,13.893,8.626,140.252,151.412,0.979,2181.222,1346.001,,,
39057,2025-09-01 02:56:00,291.828,335.154,403.255,7.784,13.669,9.478,147.297,146.019,0.977,2116.353,1327.73,,,
39058,2025-09-01 02:57:00,185.357,300.559,113.492,8.109,13.95,11.33,139.3,153.931,0.977,2130.443,1280.069,,,
39059,2025-09-01 02:58:00,377.855,449.354,320.466,8.082,13.507,13.385,135.315,153.512,0.978,2161.96,1329.877,,,
39060,2025-09-01 02:59:00,98.132,133.601,487.811,7.939,12.875,8.575,155.885,140.789,0.978,2117.803,1343.176,,,
39061,2025-09-01 03:00:00,169.373,372.61,492.498,8.275,13.893,8.923,136.018,141.919,0.983,2150.006,1317.269,,,
39062,2025-09-01 03:01:00,89.716,372.044,212.701,6.935,12.853,11.93,158.999,145.808,0.981,2193.161,1301.18,,,
39063,2025-09-01 03:02:00,373.643,367.632,276.56,6.715,12.7,9.765,159.622,153.941,0.982,2193.025,1263.587,,,
39064,2025-09-01 03:03:00,357.069,476.934,125.191,7.731,12.896,9.018,150.904,152.663,0.981,2135.488,1257.967,,,
39065,2025-09-01 03:04:00,140.28,429.235,449.337,8.145,13.628,9.071,145.06,140.716,0.98,2151.614,1271.892,,,
39066,2025-09-01 03:05:00,280.994,116.789,327.429,7.664,13.835,10.956,153.863,147.685,0.984,2119.841,1316.332,,,
39067,2025-09-01 03:06:00,336.028,288.433,254.04,8.426,12.715,11.502,156.196,150.804,0.983,2197.852,1265.474,,,
39068,2025-09-01 03:07:00,244.32,259.181,145.108,8.091,12.924,13.426,151.288,144.139,0.977,2151.987,1303.317,,,
39069,2025-09-01 03:08:00,235.378,224.059,478.707,7.902,13.797,11.179,133.061,150.838,0.979,2120.631,1293.66,,,
39070,2025-09-01 03:09:00,134.648,280.535,312.088,6.621,12.094,12.148,130.09,145.546,0.978,2184.476,1312.855,,,
39071,2025-09-01 03:10:00,82.586,253.678,213.171,6.715,13.568,9.084,135.757,144.111,0.982,2142.037,1255.208,,,
39072,2025-09-01 03:11:00,364.026,272.934,240.086,8.07,12.908,12.281,135.656,145.888,0.978,2163.614,1348.021,,,
39073,2025-09-01 03:12:00,365.146,491.705,208.279,6.896,12.753,11.892,135.476,154.262,0.981,2184.357,1318.992,,,
39074,2025-09-01 03:13:00,271.586,135.453,340.724,6.558,12.894,9.297,145.293,153.579,0.978,2130.92,1322.174,,,
39075,2025-09-01 03:14:00,168.66,468.892,471.985,8.322,12.837,12.016,145.603,153.709,0.977,2157.791,1251.623,,,
39076,2025-09-01 03:15:00,172.223,292.095,442.678,8.282,13.513,9.269,151.691,153.761,0.975,2105.612,1257.946,,,
39077,2025-09-01 03:16:00,304.084,349.497,284.152,6.937,13.856,11.561,136.044,142.674,0.985,2123.454,1318.783,,,
39078,2025-09-01 03:17:00,363.989,432.073,430.6,8.06,12.983,12.013,132.78,153.441,0.977,2113.876,1260.964,,,
39079,2025-09-01 03:18:00,360.48,244.185,269.242,6.596,13.665,12.16,149.983,143.184,0.983,2164.419,1339.536,,,
39080,2025-09-01 03:19:00,322.956,272.169,200.923,7.07,13.464,13.456,144.52,152.572,0.983,2125.465,1312.146,,,
39081,2025-09-01 03:20:00,274.711,263.807,493.366,7.747,12.661,13.687,149.99,148.128,0.977,2175.999,1257.107,,,
39082,2025-09-01 03:21:00,79.449,249.892,221.555,8.026,13.175,12.861,141.422,143.599,0.979,2176.114,1311.363,,,
39083,2025-09-01 03:22:00,106.57,470.212,229.49,6.521,13.334,13.272,152.524,145.978,0.983,2178.424,1330.274,,,
39084,2025-09-01 03:23:00,364.494,431.572,495.877,7.152,12.047,8.116,150.478,146.501,0.982,2113.263,1330.091,,,
39085,2025-09-01 03:24:00,262.25,143.6,153.571,6.929,12.792,10.176,149.51,150.998,0.979,2152.605,1290.115,,,
39086,2025-09-01 03:25:00,53.219,143.249,404.214,8.498,13.985,8.238,130.827,149.09,0.984,2167.91,1296.008,,,
39087,2025-09-01 03:26:00,85.515,271.148,474.325,7.842,13.275,9.349,155.744,152.252,0.978,2132.277,1323.613,,,
39088,2025-09-01 03:27:00,282.226,139.463,304.718,7.311,12.668,10.29,141.298,145.952,0.977,2126.006,1337.415,,,
